sibling#n. 兄弟或姊妹
collapse#v. 坍塌，塌陷；虚脱，晕倒
foolproof#adj. 十分简单的，容易操作的
malfeasance#n. 不法行为；渎职
iterate#v. 重做，反复重申
aviary#n. 大鸟笼，鸟舍
contrived#adj. 不自然的，做作的
addict#v.&n. 沉溺；上瘾（者）
shingle#n. 木瓦，屋顶板；木质小招牌
limb#n. 肢；树枝
stitch#v. 缝合
obtrude#v. 强行闯入；使打扰；搅扰
wastrel#n. 二流子；败家子
dappled#adj. 有斑点的，斑驳的
flask#n. 烧瓶，细颈瓶
resplendent#adj. 华丽的，辉煌的
scope#n. 眼界；范围
prohibitive#adj. 抑制的；（价格等）过高的，贵得让人望而却步的
mitten#n. 连指手套
neutron#n. 中子
salutation#n. 招呼，致意；（书信开头的）称呼语
killjoy#n. 令人扫兴的人；大煞风景的人
figurative#adj. 比喻的，借喻的
clout#n. 用手猛击；权力，影响力
pillage#v. 抢劫，掠夺
circumscribe#v. 限制
quiescent#adj. 不动的，静止的；宁静的
mauve#n. 淡紫色
enact#v. 制定（法律）；表演
fraud#n. 欺诈，欺骗；骗子
striate#v. 在…加上条纹
discredit#n. 丧失名誉
encumber#v. 妨碍；阻塞
interrupt#v. 暂时中止；打断，打扰
anatomical#adj. 解剖学的
cursory#adj. 粗略的，草率的
conflict#v.&n. 斗争，战斗；冲突，抵触
empyrean#n. 天空，天神居处
desert#v. 放弃，离弃
remit#v. 免除；宽恕；汇款
umpire#v. 在…中担任裁判
oblige#v. 束缚；帮…的忙
squat#adj. 矮胖的
bully#n. 欺负别人者
perfervid#adj. 非常热心的
deflated#adj. 灰心丧气的，泄气的
customary#adj. 习俗的
abeyance#n. 中止，搁置
comply#v. 遵循，顺从
gazetteer#n. 地名词典；地名索引
connotation#n. 言外之意，含蓄义
bedizen#v. 华丽而俗气地打扮（装扮）
respite#n. 休息；暂缓
summation#n. 总结，概要；总数，合计
dose#n. 剂量，一剂
foodstuff#n. 食料，食品
antihistamine#n. （治疗过敏的）抗组胺剂
wrangler#n. 口角者，争论者；牧马者
adulate#v. 谄媚，奉承
rotate#v. 旋转，转动；轮流，交替
jurisdiction#n. 司法权；审判权；管辖权；管辖区域
askance#adv. 侧目而视，瞟
bin#n. 大箱子
univocal#adj. 意思明确的
knit#v. 编织
dank#adj. 阴湿的，阴冷的
murmur#v. 低声说，悄声说
grace#n. 优雅；涵养；风度；宽限期
bilious#adj. 胆汁质的；坏脾气的
pulverize#v. 把…磨成粉；彻底击败；彻底摧毁
elongate#v. 延长，伸长
abhor#v. 憎恨，嫌恶
bout#n. 一回合，一阵
retentive#adj. 记忆力强的
distal#adj. 远离中心的，（神经）末梢的
apiary#n. 养蜂场，蜂房
figment#n. 虚构的东西
gorgeous#adj. 美丽动人的；极好的；绚丽的；引人入胜的
belittle#v. 轻视，贬抑
coloration#n. 着色法，染色法；颜色，色泽
incise#v. 切入，切割
palings#n. 篱笆，木栅栏
equity#n. 公平，公正
deduce#v. 演绎，推断
dribble#v. （液体）往下滴、淌
drainage#n. 排水；污水
defame#v. 诽谤，中伤
rejoin#v. 回答，反驳
versatile#adj. 多才多艺的；多用途的
succumb#v. 屈从；因…死亡
prehensile#adj. 能抓物的，能缠绕东西的
latitude#n. 选择的自由；纬度
snub#v. 冷落，不理睬
desideratum#n. 迫切需要之物
bid#v. 命令；出价，投标
airborne#adj. 空气传播的；空运的
fervor#n. 热诚，热心
summarily#adv. 概括地；仓促地
harrow#v. 耙地；折磨，使苦恼
subpoena#v. 传唤…出庭作证
surveillance#n. 监视，盯梢
taxing#adj. 繁重的
acrimonious#adj. 尖刻的，严厉的
accretion#n. 自然的增加；增加物
excursive#adj. 离题的，随意的
carol#v. 欢唱
agitate#v. 搅动，煽动；使不安，使焦虑
legitimate#adj. 合法的；正当的；合情理的；婚生的
stiff#adj. 僵直的，呆板的，严厉的
loop#n. （绳等形成的）圈，环
rider#n. 骑手；附文，附件
unjustified#adj. 未被证明为正当的，无法解释的
locale#n. 场所；地点
euphonious#adj. 悦耳的
curdle#v. 使凝结，变稠
deteriorate#v. （使）变坏，恶化
ersatz#adj. 代用的，假的
cabal#n. 政治阴谋小集团
sincere#adj. 诚实的，正直的；真挚的，纯净的
bolt#v. 急逃（todashout；dart）；螺栓，门栓
restive#adj. 不耐烦的；不满的
ecologist#n. 生态学家，生态学者
terminus#n. （火车，汽车）终点站
banal#adj. 陈腐的
flicker#v. 闪烁，摇曳
dally#v. 闲荡，嬉戏
banister#n. （楼梯的）栏杆
postulate#v. 假定，假设
wick#n. 蜡烛芯；灯芯
cape#n. 披肩，短斗篷；海角
dispute#v. 争论
surpass#v. 超过，胜过，优于；远远超出（预期）
gesticulate#v. 做手势；用手势表达；用动作示意
forger#n. 伪造者；打铁匠
redeem#v. 赎罪
appreciate#v. 欣赏；感激
suffrage#n. 选举权，投票权
microscopic#adj. 极小的，微小的；用显微镜的
equivocation#n. 模棱两可的话，含糊话
numerology#n. 数字命理学，数字占卦术
trek#v. 艰苦跋涉
skyscraper#n. 摩天大楼
estranged#adj. 疏远的，脱离的
pelt#n. 毛皮
flaccid#adj. 松弛的；绵软的
profligate#n. 放荡的人，浪子，肆意挥霍者
saturnine#adj. 忧郁的，阴沉的
impeach#v. 控告；弹劾
explicate#v. 解释；说明；阐明
domination#n. 控制，支配，管辖
stigma#n. 耻辱的标志，污点
exhale#v. 呼出（气）
reprehend#v. 谴责，责难
tyro#n. 初学者，新手，生手
glimpse#n.&v. 瞥见，看一眼
welsh#v. 赖债不还；失信
rehearsal#n. 排演，演习
impulse#n. 冲动；一时兴起的念头；脉冲
scruple#v. 顾忌
kudos#n. 荣誉
compact#n. 合同，协议
boom#v. 发出深沉有回响的声音
waft#v. 飘浮，飘荡
illiberal#adj. 气量狭窄的
locution#n. 语言风格；惯用语
immense#adj. 广大的，巨大的
tardy#adj. 缓慢的，迟缓的
precept#n. 箴言；规范；戒律
encomiast#n. 赞美者；马屁精
superlative#adj. 最佳的
blossom#v. （树木）开花
hearten#v. 鼓励；鼓舞，使振奋
disfranchise#v. 剥夺…的权利
functional#adj. 实用的；在起作用的，在工作的，运转正常的
arcane#adj. 神秘的，秘密的
proboscis#n. （象）长鼻；（昆虫等）喙
linoleum#n. 油毡
helot#n. 奴隶；受人轻视之人
lot#v. 抽签；把（土地）划分成块
walrus#n. 海象
blast#v. 爆破；枯萎
apocryphal#adj. 假冒的，虚假的
wily#adj. 狡猾的
bootless#adj. 无益处的；无用的
pontificate#v. 自负地谈论；武断地说话
nuance#n. 细微的差异
track#v. 跟踪
dexterous#adj. 灵巧的，熟练的
dissipate#v. （使）驱散；浪费
morale#n. 士气，精神面貌
upswing#n. 上升，增长
monochromatic#adj. 单色的
compound#n. 复合物  kəmˈpaund v. 搀和
saboteur#n. 从事破坏活动者
veritable#adj. 确实的，名副其实的
expound#v. 解释；阐述
funereal#adj. 适于葬礼的；悲哀而庄严的
overt#adj. 公开的；明显的；不隐藏的
beseech#v. 祈求，恳求
totter#v. 摇摇欲坠；蹒跚；踉跄
caption#n. 标题
foyer#n. 门厅，休息室
shirk#v. 逃避，规避
religion#n. 宗教，信仰
winsome#adj. 媚人的，漂亮的
miff#v. 使生气，使发脾气
wrinkle#n. 皱纹；窍门
congenial#adj. 意气相投的；性情好的
optimum#adj. 最优的；最佳的；最适宜的
scorpion#n. 蝎子
smirk#v. 假笑，得意地笑
profuse#adj. 大量的，丰富的；毫不吝惜的；一再的
brusque#adj. 唐突的，鲁莽的
paradigm#n. 范例，典范；样板
dissuade#v. 劝阻，阻止
disciple#n. 信徒，弟子
wizardry#n. 魔术；熟练
iridescent#adj. 闪彩光的，现晕光的
lamentable#adj. 令人惋惜的；可悲的
signatory#n. 签署方，签约国
knave#n. 恶棍，无赖
subvert#v. 颠覆，推翻
heterogeneous#adj. 由不同成分组成的，成分混杂的
ursine#adj. 熊的，像熊的
retrace#v. 折回；追溯；回忆
harbinger#n. 预兆，先兆
infinity#n. 无限的距离；无穷大
macabre#adj. 令人毛骨悚然的；恐怖的；可怕的；与死亡有关的
vulnerable#adj. 易受攻击的
ravine#n. 深谷，峡谷
indolent#adj. 懒惰的，怠惰的
seedling#n. 幼苗
inexplicable#adj. 无法说明的；费解的
galaxy#n. 银河；银河系；[天]星系；显赫的人群
tragedy#n. 悲剧，惨事，灾难
wreathe#v. 盘绕；把…做成花环
fixate#v. 使固定，使不变；注视，凝视
respiration#n. 呼吸
reward#v. 酬谢，奖赏
hydrant#n. （消防）水龙头；消防栓
redundant#adj. 累赘的，多余的
ballast#n. （船等）压舱物
trilogy#n. 三部曲
introspective#adj. 自省的
delinquent#n. 少年犯
unidimensional#adj. 一方面的；一维的
sermon#n. 布道；说教，训诫
satanic#adj. 穷凶恶极的
hinge#n. 铰链；关键
nubile#adj. （女孩）到婚嫁年龄的；性感的
vogue#adj. 流行的
antediluvian#adj. 史前的；陈旧的
bounteous#adj. 慷慨的；丰富的
symmetry#n. 对称；均衡
holster#n. 手枪皮套
descendant#n. 后代，后裔
discrete#adj. 分离的；互不连接的；不相关的
counteract#v. 消除，抵消
slake#v. 解渴，消渴
nippers#n. 钳子，镊子
preoccupation#n. 全神贯注；入神
infuriate#v. 使十分恼火，使大怒，激怒
cater#v. 迎合；提供饮食及服务
vertex#n. （三角形等）角的顶点；顶点
lactic#adj. 乳汁的
infection#n. 传染，感染；传染病；影响
odoriferous#adj. 有气味的
deleterious#adj. 有害的
essential#n. 要素，实质
evince#v. 表明，表现
hedonism#n. 享乐主义；享乐
receipt#n. 收到，接到；发票，收据
prepossessing#adj. （个性等）给人好感的
expatriate#v. 驱逐出国；脱离国籍
kernel#n. 果仁；核心
demarcate#v. 划分，划界
bulb#n. 植物的球茎；灯泡
presenter#n. 主持人
inflammation#n. 发炎，炎症
splendor#n. 壮丽；辉煌
optional#adj. 可自由选择的；非强制的
reparation#n. 赔偿，补偿
abortive#adj. 无结果的，失败的
resound#v. 回荡着声音；鸣响
aghast#adj. 惊骇的，吓呆的
ornate#adj. 华美的；充满装饰的
palate#n. 腭；品尝力；味觉
regal#adj. 帝王的；华丽的
contrition#n. 悔罪，痛悔
cornucopia#n. 丰饶角
opportune#adj. （时机）恰当的，适宜的；及时的；适时的
mendicant#n. 乞丐；托钵僧
tedium#n. 单调乏味
vaccinate#v. 给…接种疫苗
azure#adj. 蔚蓝的
stoic#n. 坚忍克己之人，禁欲主义者
garret#n. 阁楼，顶楼小室
scurry#v. 急跑，疾行
magnate#n. 大企业家；巨头
gentle#adj. 温和的；轻柔的
insurrection#n. 造反，叛乱
tractable#adj. 易于驾驭的；温顺的；易处理的
foible#n. 小缺点，小毛病
redirect#v. 改寄（信件）；改变方向
touchstone#n. 试金石；检验标准
blustering#adj. 大吵大闹的
rebate#n. 折扣，回扣
incredulity#n. 怀疑，不相信
stale#adj. 不新鲜的，陈腐的
diaphanous#adj. 薄如蝉翼的
whim#n. 多变，怪念头
duckling#n. 雏鸭，小鸭
renounce#v. （正式）放弃
preposterous#adj. 荒谬的
perennial#adj. （尤指问题或困难）永恒的，持续的；多年生的
forfeit#n. 丧失物
inhale#v. 吸气；吸入
partiality#n. 偏袒，偏心
enshrine#v. 奉为神圣，珍藏
feasible#adj. 可行的，可能的
mayhem#n. 严重伤害罪；纷乱，混乱
indignation#n. 愤慨，愤怒
projection#n. 预计；预测；投射
understudy#v. 充当…的替角
bereft#adj. 被剥夺的；缺少的
comely#adj. 动人的，美丽的
streak#v. 加线条
rifle#v. 抢劫
vitrify#v. 玻璃化；使成玻璃状
wanderlust#n. 漫游癖，旅游热
miscreant#n. 恶棍，歹徒
pilot#n. 飞行员；领航员；（电视的）试播节目
bode#v. 预示
obstruction#n. 阻碍（物），妨碍
giddy#adj. 轻浮的；头晕的；眩晕的
vandalism#n. （对公物等）恶意破坏
indubitable#adj. 不容置疑的
anthology#n. 诗集，文选
avarice#n. 贪财，贪婪
pretence#n. 假装；做作；矫饰
bellicose#adj. 好战的，好斗的
festive#adj. 欢乐的
doggo#adv. 静静躲藏着地；一动也不动地
grimace#v. 做鬼脸，扮怪相
glow#v. 发光；泛光；（皮肤）发红，泛红晕
bolster#v. 支持，鼓励
nonradioactive#adj. 非放射性的
wrist#n. 腕，腕关节
barren#adj. 不育的；贫瘠的；不结果实的
plot#n. 情节；阴谋；策划
remunerative#adj. 有报酬的；有酬劳的；有偿的
visceral#adj. 内心深处的；内脏的
ravish#v. 迷住；强夺
boding#adj. 凶兆的
superiority#n. 优势，优越性
dilemma#n. 困境，左右为难
fanatic#n. 狂热者
damper#n. 起抑制作用的因素；节气闸，断音装置
mariner#n. 水手，海员
matador#n. 斗牛士
intangibility#n. 无形，不可接触
cameo#n. 浮雕宝石；生动刻画；（演员）出演
perishable#n. 易腐烂的东西
drizzly#adj. 下毛毛雨的
inexhaustible#adj. 用不完的，无穷的
distraught#adj. 心烦意乱的；心急如焚的
obligation#n. 责任；债务，欠的人情
Antarctic#adj. 南极的
anhydrous#adj. 无水的
imponderable#n. 难以解释的事情；无法估计的事物
lyric#n. 抒情诗；歌词
soothe#v. 抚慰；减轻
reputation#n. 名声
maelstrom#n. 大漩涡；大动乱
venom#n. 毒液；恶毒，痛恨
teetotal#adj. 滴酒不沾的
wean#v. （孩子）断奶；戒掉
alias#n. 化名，别名
acumen#n. 敏锐，精明
hovel#n. 茅舍；肮脏简陋的住处
indices#n. 指数
gainsay#v. 反驳，反对；否认
prudent#adj. 审慎的，慎重的，精明的
mundane#adj. 平凡的；单调的
exploit#n. 英勇行为  vt. 开采； 开拓； 利用（……为自己谋利）； 剥削
nib#n. 钢笔尖
advocate#n. 支持者，拥护者
retinue#n. 侍从，随员团
deadlock#n. 相持不下，僵局
spontaneous#adj. 自发的；自然的
analgesic#adj. 止痛的
controvert#v. 反驳，驳斥
dissolute#adj. 放荡的
grieve#v. 使悲伤；使难过
breadth#n. 宽度
reticent#adj. 沉默不语的
masquerade#v. 伪装；冒充
tousle#v. 弄乱（头发）
anagram#n. 变形词
trench#n. 沟，壕沟
handle#v. 处理；负责（某项工作）；操纵（武器、车辆等）
dart#v. 飞奔；猛冲
chore#n. 家务琐事；讨厌的工作
remove#v. 移走；脱掉；迁移
axiom#n. 公理；定理
skittish#adj. 轻浮的，轻佻的
ploy#n. 计策；计谋；手段
overhaul#v. 彻底检查；大修
tortuous#adj. 弯弯曲曲的
raffish#adj. 粗俗的；俗艳的
inculpate#v. 连累；控告；归咎于
animation#n. 活泼，有生气；卡通制作
disburse#v. 支付，支出
prerequisite#n. 先决条件；前提；必要条件
interlace#v. 编织；交错
distinctive#adj. 独特的，有特色的
grenade#n. 手榴弹
allege#v. （无证据）陈述，宣称
divest#v. 使失去；剥夺
statuary#n. 雕像；雕塑艺术
putrefy#v. 使腐烂
neurology#n. 神经病学
negotiate#v. 商议，谈判，交涉
fraught#adj. 充满…的
vivacious#adj. 活泼的，快活的
astronomical#adj. 庞大的
composure#n. 镇静，沉着；自若
revile#v. 辱骂，恶言相向
neophyte#n. 初学者，新手
demote#v. 降级，降职
canny#adj. 精明仔细的
hatch#v. 孵化；出壳；筹划，谋划
preview#n. 预演，预展
saturated#adj. 渗透的，饱和的
cleaver#n. 切肉刀
badger#v. 一再烦扰，一再要求
pseudonym#n. 假名；笔名
finale#n. 终场，最后一场；乐曲的最后部分
linguistic#adj. 语言的；语言学的
archaeology#n. 考古学
long#adj. 冗长的
spout#v. 喷出；滔滔不绝地讲
differentiate#v. 辨别，区别
sanatorium#n. 疗养院，休养所
bombardment#n. 炮炸，炮轰
eucalyptus#n. 桉树
constrained#adj. 束缚的，节制的
guile#n. 欺诈；狡诈
desiccate#v. （使）完全干涸，脱水
canvas#n. 画布；帆布
chivalrous#adj. 武士精神的；对女人彬彬有礼的
disport#v. 玩耍，嬉戏
edifice#n. 宏伟的建筑
redistribution#n. 重新分配
relevance#n. 相关
periphery#n. 次要部分；外围；边缘；周围
distinguished#adj. 著名的，卓越的，杰出的
heavy#n. 彪形大汉
rage#v. 激怒
hamstring#v. 切断腿筋使成跛腿，使残废
talon#n. （猛禽的）爪，利爪
capitulate#v. （有条件地）投降
feat#n. 功绩，壮举
temptation#n. 诱惑，诱惑物
contrive#v. 计划，设计
principal#adj. 主要的，重要的
debrief#v. 向…询问情况，听取汇报
uncommitted#adj. 不受约束的，不承担责任的
transpose#v. 变换位置，调换
sketchy#adj. 粗略的；不完全的
rife#adj. 流行的，普遍的
surly#adj. 脾气暴躁的；粗暴无礼的
tart#adj. （水果等）味道浓烈的；尖酸的，刻薄的
pasteurize#v. 用巴氏灭菌法对（牛奶等）消毒（灭菌）
inveterate#adj. 积习已深的
etching#n. 蚀刻术；蚀刻版画
snowdrift#n. 雪堆
gregariousness#n. 群居；合群
damp#adj. 潮湿的
enhance#v. 提高，增加，改善
thaw#v. 解冻，融化
stupor#n. 昏迷，不醒人事
calorie#n. 卡路里；卡（热量单位）
decimate#v. 大批杀死；严重削弱
waive#v. 放弃；推迟考虑
cessation#n. 中止，（短暂的）停止
cereal#n. 谷类；谷类食品
disparate#adj. 迥然不同的
querulous#adj. 牢骚满腹的，爱抱怨的
